chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\labels\XYToolTipGenerator.java,XYToolTipGenerator,16,13,0.8125,1,0.8125
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\labels\XYZToolTipGenerator.java,XYZToolTipGenerator,16,13,0.8125,1,0.8125
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\LegendItem.java,LegendItem,993,574,0.5780463242698892,73,0.00791844279821766
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\LegendItemCollection.java,LegendItemCollection,99,51,0.5151515151515151,11,0.046831955922865015
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\LegendItemSource.java,LegendItemSource,13,10,0.7692307692307693,1,0.7692307692307693
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\LegendRenderingOrder.java,LegendRenderingOrder,9,5,0.5555555555555556,0,Infinity
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\MouseWheelHandler.java,MouseWheelHandler,94,41,0.43617021276595747,11,0.03965183752417795
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\needle\ArrowNeedle.java,ArrowNeedle,111,42,0.3783783783783784,11,0.0343980343980344
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\needle\LineNeedle.java,LineNeedle,67,33,0.4925373134328358,7,0.07036247334754797
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\needle\LongNeedle.java,LongNeedle,118,38,0.3220338983050847,11,0.029275808936825885
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\needle\MeterNeedle.java,MeterNeedle,320,160,0.5,39,0.01282051282051282
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\needle\MiddlePinNeedle.java,MiddlePinNeedle,88,35,0.3977272727272727,9,0.04419191919191919
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\needle\PinNeedle.java,PinNeedle,86,35,0.4069767441860465,9,0.04521963824289406
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\needle\PlumNeedle.java,PlumNeedle,77,33,0.42857142857142855,8,0.05357142857142857
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\needle\PointerNeedle.java,PointerNeedle,98,34,0.3469387755102041,11,0.03153988868274583
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\needle\ShipNeedle.java,ShipNeedle,76,34,0.4473684210526316,8,0.05592105263157895
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\needle\WindNeedle.java,WindNeedle,68,29,0.4264705882352941,7,0.06092436974789916
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\PaintMap.java,PaintMap,160,79,0.49375,16,0.030859375
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\panel\AbstractOverlay.java,AbstractOverlay,61,34,0.5573770491803278,6,0.09289617486338797
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\panel\CrosshairOverlay.java,CrosshairOverlay,503,138,0.27435387673956263,76,0.0036099194307837187
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\panel\Overlay.java,Overlay,43,38,0.8837209302325582,3,0.29457364341085274
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\AbstractPieLabelDistributor.java,AbstractPieLabelDistributor,57,37,0.6491228070175439,5,0.1298245614035088
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\CategoryCrosshairState.java,CategoryCrosshairState,121,60,0.49586776859504134,12,0.04132231404958678
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\CategoryMarker.java,CategoryMarker,119,67,0.5630252100840336,10,0.05630252100840336
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\CategoryPlot.java,CategoryPlot,4521,2189,0.48418491484184917,491,9.861199894946012E-4
C:\Users\Adrien\Downloads\jfreechart-master\jfreechart-master\src\main\java\org\jfree\chart\plot\CenterTextMode.java,CenterTextMode,13,8,0.6153846153846154,0,Infinity
